ID	Time	Observation
0	18.0	1931000000.0
0	21.0	4492000000.0
0	25.0	7336000000.0
0	28.0	7381000000.0
0	32.0	8082000000.000002
0	35.0	9553000000.0
0	39.0	22020000000.0
1	18.0	2613000000.0
1	21.0	1763000000.0
1	25.0	4338000000.0
1	28.0	6975000000.0
1	32.0	10240000000.0
1	35.0	9818000000.0
1	39.0	24870000000.0
2	18.0	1666000000.0
2	21.0	4048000000.0
2	25.0	601000000.0
2	28.0	11600000000.0
2	32.0	7155000000.0
2	35.0	9422000000.0
2	39.0	14660000000.0
2	42.0	21120000000.0
2	46.0	29080000000.0
3	18.0	1452000000.0
3	21.0	3561000000.0
3	25.0	4310000000.0
3	28.0	3958000000.0
3	32.0	5100000000.0
3	35.0	12740000000.0
4	18.0	1184000000.0
4	21.0	3049000000.0
4	25.0	4838000000.0
4	28.0	6930000000.0
4	32.0	5279000000.0
4	35.0	9999000000.0
4	39.0	10230000000.0
4	42.0	13680000000.000002
4	46.0	15670000000.0
4	49.0	22230000000.0
4	52.0	24660000000.000004
5	18.0	2193000000.0
5	21.0	3079000000.0
5	25.0	7229000000.0
5	28.0	9348000000.0
5	32.0	10860000000.0
5	35.0	8879000000.0
5	42.0	12020000000.0
5	46.0	12120000000.0
6	18.0	4991000000.0
6	21.0	6381000000.0
6	25.0	7324000000.0
6	28.0	8448000000.0
6	32.0	7277000000.0
6	35.0	9546000000.0
6	39.0	16650000000.0
6	42.0	20560000000.0
6	46.0	22750000000.0
7	18.0	2151000000.0
7	21.0	2311000000.0
7	25.0	3677000000.0
7	28.0	2445000000.0
7	32.0	9566000000.0
7	35.0	8558999999.999998
7	39.0	12950000000.0
