ID	Time	Observation
0	22.0	621.29
0	24.0	768.35
0	27.0	1132.3
0	28.0	1239.755
0	32.0	1387.2
1	22.0	608.46
1	24.0	650.475
1	27.0	844.74
1	28.0	964.8
1	32.0	1107.072
2	22.0	536.14
2	24.0	1008.0
2	27.0	1391.59
2	28.0	1743.75
2	32.0	1802.493
3	22.0	525.73
3	24.0	662.7
3	27.0	1193.242
3	28.0	1015.136
3	32.0	1096.664
4	22.0	492.63
4	24.0	665.0
4	27.0	865.15
4	28.0	1080.0
4	32.0	1134.678
5	22.0	489.28
5	24.0	597.861
5	27.0	761.3585
5	28.0	816.75
5	32.0	847.0
6	22.0	468.29
6	24.0	597.861
6	27.0	733.1625
6	28.0	928.464
6	32.0	1248.075
7	22.0	460.2
7	24.0	671.058
7	27.0	760.725
7	28.0	816.48
7	32.0	989.5975
8	22.0	429.13
8	24.0	583.176
8	27.0	644.5165
8	28.0	714.07
8	32.0	848.318
8	34.0	1039.68
8	36.0	1288.408
9	22.0	427.88
9	24.0	617.463
9	27.0	588.0625
9	28.0	716.1075
9	32.0	921.984
9	34.0	914.837
9	36.0	1072.17
10	22.0	387.77
10	24.0	631.75
10	27.0	668.039
10	28.0	720.0
10	32.0	1038.163
10	34.0	1137.032
10	36.0	1224.496
11	22.0	380.96
11	24.0	527.589
11	27.0	530.16
11	28.0	655.0
11	32.0	871.2
11	34.0	1007.19
11	36.0	950.48
12	22.0	349.49
12	24.0	641.9655
12	27.0	686.94
12	28.0	715.0
12	32.0	942.5565
12	34.0	1259.126
12	36.0	1314.514
13	22.0	346.46
13	24.0	658.282
13	27.0	639.032
13	28.0	775.0
13	32.0	1143.76
13	34.0	975.7125
13	36.0	1384.212
14	22.0	310.65
14	24.0	664.042
14	27.0	584.016
14	28.0	765.184
14	32.0	1098.5
14	34.0	1212.03
14	36.0	1298.088
15	22.0	309.68
15	24.0	727.0115
15	27.0	671.058
15	28.0	870.732
15	32.0	1111.982
15	34.0	1368.9
15	36.0	1368.9
16	7.0	96.25
16	10.0	184.96
16	11.0	181.48
16	13.0	338.69
16	15.0	372.29
16	17.0	578.81
16	19.0	767.05
16	21.0	740.66
16	24.0	838.24
16	27.0	1019.83
17	7.0	36.0
17	10.0	135.0
17	11.0	204.77
17	13.0	220.5
17	15.0	329.6
17	17.0	388.08
17	19.0	650.0
17	21.0	700.09
17	24.0	1027.0
17	27.0	1468.82
18	7.0	120.79
18	10.0	184.32
18	11.0	213.16
18	13.0	480.13
18	15.0	522.45
18	17.0	716.63
18	19.0	1169.62
18	21.0	1142.0
18	24.0	1335.1
18	27.0	1814.76
19	7.0	85.0
19	10.0	244.69
19	11.0	222.16
19	13.0	279.3
19	15.0	334.04
19	17.0	465.49
19	19.0	710.0
19	21.0	720.0
19	24.0	1266.13
19	27.0	1526.26
20	7.0	67.76
20	10.0	144.0
20	11.0	248.29
20	13.0	336.0
20	15.0	441.45
20	17.0	533.23
20	19.0	948.71
20	21.0	826.88
20	24.0	898.54
20	27.0	1767.87
21	22.0	461.18604350000004
21	24.0	513.6024825000001
21	26.0	721.8567535
21	28.0	754.373304
21	30.0	1073.7210995
21	32.0	1202.8854294999999
21	34.0	1531.019475
21	36.0	2352.5791470000004
22	22.0	444.3599999999999
22	24.0	569.6163194999999
22	26.0	996.2033125000002
22	28.0	859.0186079999999
22	30.0	1021.9456530000001
22	32.0	1413.068616
22	34.0	1662.2782200000004
22	36.0	2342.650792
23	22.0	314.69089249999996
23	24.0	384.97208400000005
23	26.0	744.2464884999999
23	28.0	896.2278764999999
23	30.0	1113.0894389999999
23	32.0	1364.0048499999998
23	34.0	1589.5047415
23	36.0	2015.06424
24	22.0	312.48298400000004
24	24.0	471.75586250000003
24	26.0	679.4333875
24	28.0	750.9997495
24	30.0	689.649664
24	32.0	971.6759045
24	34.0	1440.9733720000002
24	36.0	2150.855394
25	22.0	217.3334005
25	24.0	234.96813199999997
25	26.0	496.41861600000004
25	28.0	696.5128294999998
25	30.0	558.0944304999999
25	32.0	778.9111479999999
25	34.0	1435.8229889999998
25	36.0	1877.4232399999999
25	38.0	2219.1393945
