pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-0.0681156,0.00170068,-0.0268598,0.00170068,-0.0229174,0.00170068,All
0.0408579,0.00340136,-0.0268598,0.00340136,0.0243491,0.00340136,All
0.0742707,0.00510204,0.128764,0.00510204,0.126986,0.00510204,All
0.180921,0.00680272,0.274036,0.00680272,0.165999,0.00680272,All
0.189807,0.0085034,0.298784,0.0085034,0.203548,0.0085034,All
0.200032,0.0102041,0.310893,0.0102041,0.204084,0.0102041,All
0.230155,0.0119048,0.312622,0.0119048,0.217425,0.0119048,All
0.23565,0.0136054,0.314832,0.0136054,0.21892,0.0136054,All
0.248557,0.0153061,0.315014,0.0153061,0.225686,0.0153061,All
0.256014,0.0170068,0.319674,0.0170068,0.237268,0.0170068,All
0.258729,0.0187075,0.331355,0.0187075,0.250259,0.0187075,All
0.262636,0.0204082,0.332005,0.0204082,0.266814,0.0204082,All
0.269335,0.0221088,0.351209,0.0221088,0.288894,0.0221088,All
0.269538,0.0238095,0.3522,0.0238095,0.309607,0.0238095,All
0.293293,0.0255102,0.366597,0.0255102,0.315073,0.0255102,All
0.302879,0.0272109,0.368312,0.0272109,0.317842,0.0272109,All
0.307289,0.0289116,0.371106,0.0289116,0.319624,0.0289116,All
0.308195,0.0306122,0.373345,0.0306122,0.322902,0.0306122,All
0.323985,0.0323129,0.373899,0.0323129,0.324929,0.0323129,All
0.331097,0.0340136,0.398085,0.0340136,0.325657,0.0340136,All
0.331256,0.0357143,0.424077,0.0357143,0.330689,0.0357143,All
0.335583,0.037415,0.428779,0.037415,0.342458,0.037415,All
0.335783,0.0391156,0.433682,0.0391156,0.345684,0.0391156,All
0.339692,0.0408163,0.447758,0.0408163,0.352837,0.0408163,All
0.34231,0.042517,0.448982,0.042517,0.356905,0.042517,All
0.344309,0.0442177,0.449207,0.0442177,0.357675,0.0442177,All
0.344672,0.0459184,0.461526,0.0459184,0.359691,0.0459184,All
0.345558,0.047619,0.467103,0.047619,0.361091,0.047619,All
0.346498,0.0493197,0.46883,0.0493197,0.362198,0.0493197,All
