pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-0.00876592,0.0298015,0.0142732,0.0429997,0.0325507,0.0318869,All
0.109933,0.0149007,0.0965392,0.0214999,0.143487,0.0318869,All
0.228633,0.163908,0.178805,0,0.254423,0.159435,All
0.347332,0.387419,0.261071,0.0429997,0.365359,0.3667,All
0.466031,0.80464,0.343337,0.300998,0.476295,0.653682,All
0.58473,1.16226,0.425603,0.171999,0.587232,0.876891,All
0.70343,1.25166,0.507869,0.558996,0.698168,1.25953,All
0.822129,1.01325,0.590135,0.816994,0.809104,1.32331,All
0.940828,0.983449,0.672401,1.09649,0.92004,0.892834,All
1.05953,0.819541,0.754667,1.20399,1.03098,0.845004,All
1.17823,0.447022,0.836933,1.39749,1.14191,0.892834,All
1.29693,0.387419,0.919199,1.41899,1.25285,0.462361,All
1.41563,0.432122,1.00147,1.41899,1.36378,0.41453,All
1.53432,0.223511,1.08373,0.881494,1.47472,0.350756,All
1.65302,0.253313,1.166,0.924494,1.58566,0.191322,All
1.77172,0.104305,1.24826,0.623496,1.69659,0.302926,All
1.89042,0.134107,1.33053,0.451497,1.80753,0.111604,All
2.00912,0.0298015,1.4128,0.429997,1.91847,0.0478304,All
2.12782,0.0298015,1.49506,0.322498,2.0294,0.0478304,All
2.24652,0.0149007,1.57733,0.236498,2.14034,0.0478304,All
2.36522,0.0298015,1.65959,0.128999,2.25127,0.0159435,All
2.48392,0,1.74186,0.0644996,2.36221,0,All
2.60262,0.0149007,1.82413,0.0214999,2.47315,0,All
2.72132,0.0149007,1.90639,0.0214999,2.58408,0.0159435,All
2.84002,0.0149007,1.98866,0.0429997,2.69502,0.0318869,All
