abscissa,pdf,cdf
-4,0.00013383,3.16712e-05
-3.93701,0.000171839,4.1252e-05
-3.87402,0.000219768,5.35282e-05
-3.81102,0.000279953,6.91963e-05
-3.74803,0.000355207,8.91139e-05
-3.68504,0.000448906,0.000114334
-3.62205,0.000565075,0.00014614
-3.55906,0.00070849,0.000186096
-3.49606,0.000884784,0.000236089
-3.43307,0.00110057,0.000298393
-3.37008,0.00136356,0.000375734
-3.30709,0.00168271,0.000471359
-3.24409,0.00206833,0.000589123
-3.1811,0.00253226,0.000733579
-3.11811,0.00308796,0.000910074
-3.05512,0.0037507,0.00112486
-2.99213,0.00453764,0.00138521
-2.92913,0.00546795,0.00169954
-2.86614,0.0065629,0.00207754
-2.80315,0.00784591,0.00253031
-2.74016,0.00934261,0.00307049
-2.67717,0.0110808,0.0037124
-2.61417,0.0130902,0.00447218
-2.55118,0.0154029,0.00536793
-2.48819,0.0180523,0.00641977
-2.4252,0.0210737,0.00765004
-2.3622,0.0245034,0.0090833
-2.29921,0.0283784,0.0107464
-2.23622,0.032736,0.0126687
-2.17323,0.0376132,0.0148816
-2.11024,0.043046,0.017419
-2.04724,0.0490683,0.0203171
-1.98425,0.0557116,0.0236139
-1.92126,0.0630039,0.0273495
-1.85827,0.0709686,0.0315655
-1.79528,0.0796235,0.0363049
-1.73228,0.0889802,0.0416116
-1.66929,0.0990426,0.0475298
-1.6063,0.109806,0.0541041
-1.54331,0.121258,0.0613781
-1.48031,0.133373,0.0693946
-1.41732,0.146118,0.0781943
-1.35433,0.159447,0.0878154
-1.29134,0.173303,0.0982931
-1.22835,0.187616,0.109658
-1.16535,0.202308,0.121938
-1.10236,0.217286,0.135152
-1.03937,0.232449,0.149316
-0.976378,0.247685,0.164439
-0.913386,0.262875,0.18052
-0.850394,0.277892,0.197553
-0.787402,0.292603,0.215523
-0.724409,0.306872,0.234407
-0.661417,0.320563,0.254172
-0.598425,0.333539,0.274778
-0.535433,0.345666,0.296175
-0.472441,0.356815,0.318306
-0.409449,0.366865,0.341105
-0.346457,0.375704,0.3645
-0.283465,0.383232,0.38841
-0.220472,0.389363,0.412752
-0.15748,0.394026,0.437433
-0.0944882,0.397165,0.462361
-0.0314961,0.398744,0.487437
0.0314961,0.398744,0.512563
0.0944882,0.397165,0.537639
0.15748,0.394026,0.562567
0.220472,0.389363,0.587248
0.283465,0.383232,0.61159
0.346457,0.375704,0.6355
0.409449,0.366865,0.658895
0.472441,0.356815,0.681694
0.535433,0.345666,0.703825
0.598425,0.333539,0.725222
0.661417,0.320563,0.745828
0.724409,0.306872,0.765593
0.787402,0.292603,0.784477
0.850394,0.277892,0.802447
0.913386,0.262875,0.81948
0.976378,0.247685,0.835561
1.03937,0.232449,0.850684
1.10236,0.217286,0.864848
1.16535,0.202308,0.878062
1.22835,0.187616,0.890342
1.29134,0.173303,0.901707
1.35433,0.159447,0.912185
1.41732,0.146118,0.921806
1.48031,0.133373,0.930605
1.54331,0.121258,0.938622
1.6063,0.109806,0.945896
1.66929,0.0990426,0.95247
1.73228,0.0889802,0.958388
1.79528,0.0796235,0.963695
1.85827,0.0709686,0.968434
1.92126,0.0630039,0.972651
1.98425,0.0557116,0.976386
2.04724,0.0490683,0.979683
2.11024,0.043046,0.982581
2.17323,0.0376132,0.985118
2.23622,0.032736,0.987331
2.29921,0.0283784,0.989254
2.3622,0.0245034,0.990917
2.4252,0.0210737,0.99235
2.48819,0.0180523,0.99358
2.55118,0.0154029,0.994632
2.61417,0.0130902,0.995528
2.67717,0.0110808,0.996288
2.74016,0.00934261,0.99693
2.80315,0.00784591,0.99747
2.86614,0.0065629,0.997922
2.92913,0.00546795,0.9983
2.99213,0.00453764,0.998615
3.05512,0.0037507,0.998875
3.11811,0.00308796,0.99909
3.1811,0.00253226,0.999266
3.24409,0.00206833,0.999411
3.30709,0.00168271,0.999529
3.37008,0.00136356,0.999624
3.43307,0.00110057,0.999702
3.49606,0.000884784,0.999764
3.55906,0.00070849,0.999814
3.62205,0.000565075,0.999854
3.68504,0.000448906,0.999886
3.74803,0.000355207,0.999911
3.81102,0.000279953,0.999931
3.87402,0.000219768,0.999946
3.93701,0.000171839,0.999959
4,0.00013383,0.999968
