ID,time,pop,popPred,indivPredMean,indivPredMode
1,22,13.4131,13.4131,13.5211,13.1626
1,22.066,13.5188,13.5188,13.628,13.2656
1,22.08,13.5411,13.5411,13.6506,13.2873
1,22.1323,13.6249,13.6249,13.7354,13.369
1,22.16,13.6695,13.6695,13.7805,13.4124
1,22.1987,13.7321,13.7321,13.8438,13.4734
1,22.24,13.7991,13.7991,13.9116,13.5387
1,22.2654,13.8405,13.8405,13.9534,13.579
1,22.32,13.93,13.93,14.0439,13.6662
1,22.3322,13.9501,13.9501,14.0642,13.6857
1,22.3993,14.0609,14.0609,14.1763,13.7936
1,22.4,14.0621,14.0621,14.1775,13.7948
1,22.4665,14.1729,14.1729,14.2895,13.9027
1,22.48,14.1955,14.1955,14.3124,13.9247
1,22.5339,14.2861,14.2861,14.404,14.013
1,22.56,14.3301,14.3301,14.4485,14.0558
1,22.6016,14.4006,14.4006,14.5198,14.1244
1,22.64,14.466,14.466,14.586,14.1881
1,22.6694,14.5163,14.5163,14.6369,14.2371
1,22.72,14.6032,14.6032,14.7247,14.3217
1,22.7375,14.6334,14.6334,14.7552,14.3511
1,22.8,14.7417,14.7417,14.8648,14.4565
1,22.8058,14.7517,14.7517,14.8749,14.4663
1,22.8742,14.8713,14.8713,14.9959,14.5827
1,22.88,14.8815,14.8815,15.0062,14.5926
1,22.9429,14.9923,14.9923,15.1183,14.7005
1,22.96,15.0226,15.0226,15.1489,14.73
1,23.0118,15.1146,15.1146,15.2421,14.8196
1,23.04,15.1651,15.1651,15.2931,14.8687
1,23.0808,15.2384,15.2384,15.3673,14.9401
1,23.12,15.3091,15.3091,15.4387,15.0088
1,23.1501,15.3637,15.3637,15.494,15.0619
1,23.2,15.4544,15.4544,15.5858,15.1503
1,23.2196,15.4903,15.4903,15.6221,15.1852
1,23.28,15.6012,15.6012,15.7343,15.2931
1,23.2893,15.6184,15.6184,15.7517,15.3099
1,23.3593,15.748,15.748,15.8828,15.436
1,23.36,15.7494,15.7494,15.8842,15.4373
1,23.4294,15.8791,15.8791,16.0154,15.5635
1,23.44,15.899,15.899,16.0356,15.5829
1,23.4997,16.0116,16.0116,16.1495,15.6925
1,23.52,16.0501,16.0501,16.1884,15.7299
1,23.5703,16.1457,16.1457,16.2851,15.8229
1,23.6,16.2025,16.2025,16.3426,15.8782
1,23.641,16.2813,16.2813,16.4223,15.9548
1,23.68,16.3564,16.3564,16.4983,16.0279
1,23.712,16.4184,16.4184,16.561,16.0882
1,23.76,16.5117,16.5117,16.6555,16.179
1,23.7832,16.557,16.557,16.7013,16.223
1,23.84,16.6684,16.6684,16.814,16.3314
1,23.8546,16.6972,16.6972,16.8431,16.3594
1,23.92,16.8266,16.8266,16.9741,16.4853
1,23.9262,16.8389,16.8389,16.9865,16.4972
1,23.998,16.9822,16.9822,17.1315,16.6366
1,24,16.9861,16.9861,17.1355,16.6405
1,24.0701,17.1271,17.1271,17.2782,16.7776
1,24.08,17.1472,17.1472,17.2985,16.7971
1,24.1423,17.2737,17.2737,17.4265,16.9201
1,24.16,17.3098,17.3098,17.463,16.9552
1,24.2148,17.4221,17.4221,17.5766,17.0644
1,24.24,17.4739,17.4739,17.6291,17.1148
1,24.2875,17.5721,17.5721,17.7285,17.2103
1,24.32,17.6396,17.6396,17.7968,17.2759
1,24.3604,17.7239,17.7239,17.8821,17.3579
1,24.4,17.8069,17.8069,17.9661,17.4386
1,24.4335,17.8775,17.8775,18.0376,17.5072
1,24.48,17.9758,17.9758,18.137,17.6027
1,24.5069,18.0329,18.0329,18.1948,17.6582
1,24.56,18.1463,18.1463,18.3096,17.7684
1,24.5805,18.1901,18.1901,18.354,17.8111
1,24.64,18.3184,18.3184,18.4838,17.9357
1,24.6542,18.3492,18.3492,18.515,17.9657
1,24.72,18.4921,18.4921,18.6596,18.1046
1,24.7283,18.5101,18.5101,18.6779,18.1221
1,24.8,18.6675,18.6675,18.8371,18.275
1,24.8025,18.673,18.673,18.8427,18.2804
1,24.877,18.8378,18.8378,19.0095,18.4405
1,24.88,18.8445,18.8445,19.0163,18.4471
1,24.9516,19.0045,19.0045,19.1783,18.6025
1,24.96,19.0232,19.0232,19.1973,18.6208
1,25.0265,19.1732,19.1732,19.349,18.7665
1,25.04,19.2037,19.2037,19.3799,18.7961
1,25.1017,19.3439,19.3439,19.5219,18.9324
1,25.12,19.3858,19.3858,19.5642,18.973
1,25.177,19.5167,19.5167,19.6967,19.1002
1,25.2,19.5696,19.5696,19.7504,19.1517
1,25.2526,19.6915,19.6915,19.8737,19.27
1,25.28,19.7552,19.7552,19.9382,19.3319
1,25.3284,19.8684,19.8684,20.0528,19.4419
1,25.36,19.9425,19.9425,20.1279,19.5139
1,25.4045,20.0474,20.0474,20.234,19.6158
1,25.44,20.1316,20.1316,20.3193,19.6976
1,25.4807,20.2286,20.2286,20.4175,19.7918
1,25.52,20.3225,20.3225,20.5126,19.883
1,25.5572,20.4119,20.4119,20.6031,19.9699
1,25.6,20.5152,20.5152,20.7077,20.0702
1,25.6339,20.5975,20.5975,20.791,20.1501
1,25.68,20.7097,20.7097,20.9047,20.2591
1,25.7109,20.7854,20.7854,20.9812,20.3325
1,25.76,20.9061,20.9061,21.1035,20.4498
1,25.7881,20.9755,20.9755,21.1738,20.5172
1,25.84,21.1044,21.1044,21.3043,20.6423
1,25.8655,21.168,21.168,21.3686,20.7041
1,25.92,21.3045,21.3045,21.5069,20.8366
1,25.9431,21.3628,21.3628,21.5659,20.8932
1,26,21.5066,21.5066,21.7115,21.0328
1,26.021,21.56,21.56,21.7656,21.0847
1,26.08,21.7105,21.7105,21.9181,21.2308
1,26.0991,21.7596,21.7596,21.9678,21.2785
1,26.16,21.9164,21.9164,22.1266,21.4307
1,26.1775,21.9617,21.9617,22.1725,21.4747
1,26.24,22.1243,22.1243,22.3371,21.6325
1,26.2561,22.1663,22.1663,22.3797,21.6733
1,26.32,22.3341,22.3341,22.5496,21.8362
1,26.3349,22.3735,22.3735,22.5894,21.8743
1,26.4,22.546,22.546,22.7642,22.0418
1,26.414,22.5831,22.5831,22.8018,22.0778
1,26.48,22.7598,22.7598,22.9807,22.2493
1,26.4933,22.7954,22.7954,23.0168,22.2839
