ID,time,Observation,median,piLower,piUpper,censored
1,22,608.46,33.4484,-787.803,835.66,0
1,24,650.475,57.0503,-1124.65,1187.93,0
1,27,844.74,44.2792,-1688.1,1613.26,0
1,28,964.8,99.9763,-1893.1,1949.65,0
1,32,1107.07,93.4253,-2895.24,2814.13,0
2,22,536.14,-35.3587,-832.478,831.055,0
2,24,1008,78.9747,-1052.9,1190.13,0
2,27,1391.59,-13.6677,-1505.8,1590.07,0
2,28,1743.75,35.1091,-1977.18,1987.24,0
2,32,1802.49,29.2459,-3249.57,2699.04,0
3,22,525.73,6.88583,-894.36,819.292,0
3,24,662.7,-6.03526,-1059.79,1097.49,0
3,27,1193.24,-26.8027,-1510.52,1560.54,0
3,28,1015.14,17.7994,-1771.23,2091.16,0
3,32,1096.66,36.2507,-3301.94,2856.25,0
4,22,492.63,7.78978,-808.677,893.073,0
4,24,665,57.4772,-1012.23,1017.85,0
4,27,865.15,-17.0168,-1566.2,1590.67,0
4,28,1080,32.9989,-1705.5,1985.35,0
4,32,1134.68,-95.5079,-2517.41,2612.85,0
5,22,489.28,12.237,-800.223,893.655,0
5,24,597.861,26.2979,-1114.74,1183.85,0
5,27,761.359,40.1367,-1472.38,1663.79,0
5,28,816.75,67.0433,-1855.48,1744.17,0
5,32,847,9.61399,-2952.3,3081.73,0
6,22,468.29,16.1801,-844.592,772.204,0
6,24,597.861,35.2242,-1072.96,1047.7,0
6,27,733.163,16.6337,-1730.23,1568.88,0
6,28,928.464,-25.5302,-1682.79,2010.7,0
6,32,1248.08,-90.0938,-3333.54,2982.17,0
7,22,460.2,0.198934,-793.809,841.155,0
7,24,671.058,41.5819,-996.315,1242.22,0
7,27,760.725,46.639,-1660.23,1575.92,0
7,28,816.48,66.428,-1784.64,1863.39,0
7,32,989.597,31.2421,-2948.96,3069.38,0
8,22,429.13,-9.05293,-880.128,922.359,0
8,24,583.176,39.7211,-1070.37,1108.59,0
8,27,644.516,85.3911,-1474.21,1477.47,0
8,28,714.07,-2.71895,-1642.78,1799.68,0
8,32,848.318,18.121,-3203.62,2894.16,0
8,34,1039.68,-76.7339,-3851.04,3880.38,0
8,36,1288.41,77.1904,-4983.34,5331.84,0
9,22,427.88,7.52368,-878.133,838.841,0
9,24,617.463,23.9253,-912.162,1060.9,0
9,27,588.062,13.3634,-1539.87,1576.96,0
9,28,716.107,29.5272,-1695.55,1787.58,0
9,32,921.984,4.36609,-3046.92,2926.44,0
9,34,914.837,-83.9945,-3750.51,4504.71,0
9,36,1072.17,61.2253,-4611.87,4346.37,0
10,22,387.77,42.0915,-824.298,871.96,0
10,24,631.75,21.8391,-1148.45,1039.61,0
10,27,668.039,48.8478,-1443.96,1703.07,0
10,28,720,59.2563,-1751.28,1579.29,0
10,32,1038.16,55.9918,-2835.89,2632.47,0
10,34,1137.03,24.9394,-3431.93,3476.65,0
10,36,1224.5,138.783,-4306.54,5195.9,0
11,22,380.96,17.506,-803.593,842.898,0
11,24,527.589,53.7614,-913.099,1161.13,0
11,27,530.16,6.03999,-1562.71,1449.81,0
11,28,655,42.1324,-1536.12,1676.52,0
11,32,871.2,149.937,-2903.58,2853.29,0
11,34,1007.19,313.17,-4029.14,3831.73,0
11,36,950.48,146.93,-4572.34,5102.02,0
12,22,349.49,2.08148,-827.987,834.777,0
12,24,641.966,55.7813,-1001.33,1118.18,0
12,27,686.94,-4.34057,-1424,1724.32,0
12,28,715,139.986,-1765.46,1870.6,0
12,32,942.557,97.4368,-2393,2902.49,0
12,34,1259.13,41.0402,-3305.07,3627.4,0
12,36,1314.51,356.968,-4551.53,4799.62,0
13,22,346.46,11.0471,-928.872,917.514,0
13,24,658.282,-18.5842,-1176.31,1217.89,0
13,27,639.032,16.6053,-1682.97,1522.56,0
13,28,775,68.7129,-1754.94,1677.61,0
13,32,1143.76,-33.5431,-3394.32,2960.53,0
13,34,975.712,61.7718,-4032.92,4001.94,0
13,36,1384.21,173.389,-5567.15,4986.47,0
14,22,310.65,11.7463,-929.31,880.686,0
14,24,664.042,8.11175,-1035.14,995.167,0
14,27,584.016,-76.7395,-1633.68,1573.35,0
14,28,765.184,99.6705,-1604.24,1809.33,0
14,32,1098.5,134.409,-2814.63,2945.67,0
14,34,1212.03,-78.0994,-3532.61,3625.9,0
14,36,1298.09,-87.3262,-4744.56,4974.51,0
15,22,309.68,17.4031,-742.559,880.95,0
15,24,727.011,100.027,-1063.99,1075.96,0
15,27,671.058,20.0585,-1594.76,1602.55,0
15,28,870.732,-13.5471,-1810.33,1856.71,0
15,32,1111.98,91.2188,-2808.21,3198.96,0
15,34,1368.9,-21.4999,-3518.45,3580.1,0
15,36,1368.9,222.769,-4501.34,4811.43,0
16,7,96.25,-2.37525,-138.025,152.886,0
16,10,184.96,0.336659,-207.441,220.825,0
