ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
1,22,608.46,608.46,13.4131,13.5211,13.1626,0,All,#4682B4,0
1,24,650.475,650.475,16.9879,17.1373,16.6422,0,All,#4682B4,0
1,27,844.74,844.74,24.2023,24.4418,23.6489,0,All,#4682B4,0
1,28,964.8,964.8,27.233,27.5126,26.5875,0,All,#4682B4,0
1,32,1107.07,1107.07,43.656,44.1686,42.4755,0,All,#4682B4,0
2,22,536.14,536.14,13.4131,16.0718,15.3582,0,All,#4682B4,0
2,24,1008,1008,16.9879,20.6927,19.6924,0,All,#4682B4,0
2,27,1391.59,1391.59,24.2023,30.2164,28.5782,0,All,#4682B4,0
2,28,1743.75,1743.75,27.233,34.2811,32.3557,0,All,#4682B4,0
2,32,1802.49,1802.49,43.656,56.7913,53.1609,0,All,#4682B4,0
3,22,525.73,525.73,13.4131,13.481,13.4827,0,All,#4682B4,0
3,24,662.7,662.7,16.9879,17.0818,17.0841,0,All,#4682B4,0
3,27,1193.24,1193.24,24.2023,24.3529,24.3565,0,All,#4682B4,0
3,28,1015.14,1015.14,27.233,27.4088,27.4131,0,All,#4682B4,0
3,32,1096.66,1096.66,43.656,43.9781,43.986,0,All,#4682B4,0
4,22,492.63,492.63,13.4131,13.1512,13.1331,0,All,#4682B4,0
4,24,665,665,16.9879,16.6264,16.6015,0,All,#4682B4,0
4,27,865.15,865.15,24.2023,23.6237,23.5839,0,All,#4682B4,0
4,28,1080,1080,27.233,26.5581,26.5117,0,All,#4682B4,0
4,32,1134.68,1134.68,43.656,42.4218,42.3371,0,All,#4682B4,0
5,22,489.28,489.28,13.4131,12.9496,12.5502,0,All,#4682B4,0
5,24,597.861,597.861,16.9879,16.3486,15.7992,0,All,#4682B4,0
5,27,761.359,761.359,24.2023,23.1801,22.3058,0,All,#4682B4,0
5,28,816.75,816.75,27.233,26.0412,25.0232,0,All,#4682B4,0
5,32,847,847,43.656,41.4794,39.6316,0,All,#4682B4,0
6,22,468.29,468.29,13.4131,12.8416,12.7895,0,All,#4682B4,0
6,24,597.861,597.861,16.9879,16.1999,16.1282,0,All,#4682B4,0
6,27,733.163,733.163,24.2023,22.9431,22.8289,0,All,#4682B4,0
6,28,928.464,928.464,27.233,25.7651,25.6321,0,All,#4682B4,0
6,32,1248.08,1248.08,43.656,40.9772,40.7356,0,All,#4682B4,0
7,22,460.2,460.2,13.4131,13.2395,12.6719,0,All,#4682B4,0
7,24,671.058,671.058,16.9879,16.7483,15.9664,0,All,#4682B4,0
7,27,760.725,760.725,24.2023,23.8186,22.5714,0,All,#4682B4,0
7,28,816.48,816.48,27.233,26.7854,25.3324,0,All,#4682B4,0
7,32,989.597,989.597,43.656,42.837,40.1916,0,All,#4682B4,0
8,22,429.13,429.13,13.4131,11.2771,11.5681,0,All,#4682B4,0
8,24,583.176,583.176,16.9879,14.0591,14.4554,0,All,#4682B4,0
8,27,644.516,644.516,24.2023,19.5617,20.1831,0,All,#4682B4,0
8,28,714.07,714.07,27.233,21.8384,22.5581,0,All,#4682B4,0
8,32,848.318,848.318,43.656,33.9215,35.2022,0,All,#4682B4,0
8,34,1039.68,1039.68,55.2734,42.2765,43.9744,0,All,#4682B4,0
8,36,1288.41,1288.41,69.9834,52.691,54.9342,0,All,#4682B4,0
9,22,427.88,427.88,13.4131,11.7509,11.504,0,All,#4682B4,0
