popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
2.28534,193.533,2.28534,-137.665,142.236,2.44692,154.847,2.44692,-147.399,152.293,All
2.45879,201.095,2.45879,-148.113,153.031,2.62441,155.999,2.62441,-158.09,163.339,All
2.6454,209.232,2.6454,-159.355,164.646,2.81476,158.665,2.81476,-169.557,175.186,All
2.84618,217.986,2.84618,-171.449,177.142,3.01893,162.891,3.01893,-181.855,187.893,All
3.06219,227.405,3.06219,-184.462,190.586,3.2379,167.424,3.2379,-195.046,201.522,All
3.2946,234.769,3.2946,-198.462,205.051,3.47276,173.524,3.47276,-209.193,216.139,All
3.54465,227.319,3.54465,-213.524,220.614,3.72465,184.122,3.72465,-224.367,231.816,All
3.81368,227.703,3.81368,-229.73,237.357,3.99481,197.229,3.99481,-240.641,248.631,All
4.01182,233.06,4.01182,-241.666,249.689,4.02052,198.336,4.02052,-242.19,250.231,All
4.10313,235.529,4.10313,-247.166,255.372,4.28457,207.358,4.28457,-258.096,266.665,All
4.41454,248.38,4.41454,-265.925,274.754,4.59534,216.816,4.59534,-276.816,286.007,All
4.74959,260.209,4.74959,-286.108,295.607,4.92866,222.715,4.92866,-296.895,306.752,All
5.11007,268.834,5.11007,-307.822,318.043,5.28615,237.465,5.28615,-318.43,329.002,All
5.49791,289.16,5.49791,-331.185,342.181,5.59412,261.801,5.59412,-336.981,348.169,All
5.7383,304.419,5.7383,-345.666,357.143,5.66958,266.867,5.66958,-341.526,352.866,All
5.91518,314.398,5.91518,-356.321,368.151,6.08081,281.071,6.08081,-366.298,378.46,All
6.36412,329.011,6.36412,-383.365,396.093,6.52188,286.187,6.52188,-392.867,405.911,All
6.84714,339.935,6.84714,-412.461,426.155,6.99493,303.782,6.99493,-421.363,435.353,All
7.36681,346.322,7.36681,-443.765,458.499,7.16771,312.947,7.16771,-431.772,446.107,All
7.46478,347.806,7.46478,-449.666,464.596,7.5023,321.943,7.5023,-451.926,466.931,All
7.92593,358.319,7.92593,-477.445,493.297,8.04647,328.315,8.04647,-484.706,500.799,All
8.52748,376.888,8.52748,-513.682,530.737,8.6301,365.47,8.6301,-519.864,537.124,All
9.17469,411.541,9.17469,-552.669,571.018,8.74131,371.43,8.74131,-526.563,544.045,All
9.19126,412.428,9.19126,-553.667,572.049,9.25608,386.401,9.25608,-557.571,576.083,All
9.87102,431.034,9.87102,-594.615,614.357,9.92745,404.832,9.92745,-598.014,617.869,All
10.6202,442.826,10.6202,-639.744,660.984,10.3149,422.023,10.3149,-621.354,641.983,All
10.9177,460.757,10.9177,-657.667,679.503,10.6475,435.163,10.6475,-641.39,662.685,All
11.4262,491.4,11.4262,-688.298,711.151,11.4198,448.32,11.4198,-687.912,710.752,All
12.2935,513.726,12.2935,-740.538,765.125,11.8885,455.751,11.8885,-716.145,739.922,All
12.6442,506.46,12.6442,-761.668,786.956,12.2481,467.768,12.2481,-737.809,762.305,All
13.2265,494.401,13.2265,-796.742,823.195,13.1365,513.495,13.1365,-791.325,817.598,All
14.2303,546.529,14.2303,-857.212,885.673,13.4621,527.854,13.4621,-810.936,837.86,All
14.3707,556.125,14.3707,-865.668,894.41,14.0894,548.112,14.0894,-848.722,876.901,All
15.3104,606.855,15.3104,-922.272,952.893,15.0357,569.688,15.0357,-905.727,935.798,All
16.0972,611.2,16.0972,-969.669,1001.86,15.1113,571.285,15.1113,-910.283,940.506,All
16.4724,613.272,16.4724,-992.27,1025.21,16.2074,599.422,16.2074,-976.309,1008.72,All
17.7226,637.379,17.7226,-1067.58,1103.02,16.6093,613.269,16.6093,-1000.52,1033.74,All
17.8237,640.267,17.8237,-1073.67,1109.32,17.383,642.434,17.383,-1047.12,1081.89,All
19.0677,675.794,19.0677,-1148.61,1186.74,18.1829,668.197,18.1829,-1095.31,1131.67,All
19.5501,688.308,19.5501,-1177.67,1216.77,18.6439,680.144,18.6439,-1123.08,1160.36,All
20.5148,714.083,20.5148,-1235.78,1276.81,19.7565,702.009,19.7565,-1190.1,1229.61,All
21.2766,734.436,21.2766,-1281.67,1324.22,19.9962,706.187,19.9962,-1204.54,1244.53,All
22.0718,772.182,22.0718,-1329.57,1373.72,21.3301,732.803,21.3301,-1284.89,1327.55,All
23.0031,799.677,23.0031,-1385.67,1431.68,21.4466,735.679,21.4466,-1291.91,1334.8,All
23.747,821.64,23.747,-1430.48,1477.98,22.9037,784.689,22.9037,-1379.68,1425.49,All
24.7296,805.448,24.7296,-1489.67,1539.13,23.0021,788.293,23.0021,-1385.61,1431.62,All
25.5493,834.696,25.5493,-1539.05,1590.15,24.4773,833.987,24.4773,-1474.47,1523.43,All
26.4561,867.048,26.4561,-1593.67,1646.58,24.6706,839.098,24.6706,-1486.12,1535.46,All
27.4885,860.327,27.4885,-1655.86,1710.84,26.0509,873.976,26.0509,-1569.26,1621.37,All
28.1826,879.488,28.1826,-1697.67,1754.04,26.46,884.422,26.46,-1593.91,1646.83,All
29.5747,917.921,29.5747,-1781.54,1840.68,27.6245,916.378,27.6245,-1664.05,1719.3,All
29.909,927.15,29.909,-1801.67,1861.49,28.3793,939.648,28.3793,-1709.52,1766.28,All
31.6355,983.358,31.6355,-1905.67,1968.94,29.1981,968.035,29.1981,-1758.85,1817.24,All
31.8194,990.016,31.8194,-1916.75,1980.39,30.4377,1013.44,30.4377,-1833.52,1894.39,All
33.362,1045.88,33.362,-2009.67,2076.4,30.7717,1025.34,30.7717,-1853.64,1915.18,All
34.2343,1077.48,34.2343,-2062.22,2130.69,32.3453,1072.99,32.3453,-1948.43,2013.12,All
35.0885,1088.55,35.0885,-2113.67,2183.85,32.6455,1079.65,32.6455,-1966.51,2031.8,All
36.815,1114.72,36.815,-2217.67,2291.3,33.9189,1101.58,33.9189,-2043.22,2111.06,All
36.8326,1114.99,36.8326,-2218.74,2292.4,35.0133,1119.38,35.0133,-2109.15,2179.18,All
38.5414,1140.89,38.5414,-2321.67,2398.76,35.4925,1129.13,35.4925,-2138.01,2208.99,All
39.6281,1157.36,39.6281,-2387.13,2466.39,37.0661,1177.71,37.0661,-2232.8,2306.93,All
40.2679,1167.05,40.2679,-2425.68,2506.21,37.553,1196.7,37.553,-2262.13,2337.24,All
41.9944,1193.22,41.9944,-2529.68,2613.66,38.6397,1239.68,38.6397,-2327.59,2404.87,All
42.6357,1202.94,42.6357,-2568.31,2653.58,40.2133,1287.52,40.2133,-2422.38,2502.81,All
43.7209,1227.69,43.7209,-2633.68,2721.12,40.2768,1288.68,40.2768,-2426.21,2506.77,All
45.4474,1298.47,45.4474,-2737.68,2828.57,41.7868,1304.32,41.7868,-2517.17,2600.75,All
45.8717,1315.87,45.8717,-2763.24,2854.98,43.1983,1313.61,43.1983,-2602.19,2688.59,All
47.1738,1369.26,47.1738,-2841.68,2936.02,43.3604,1315.74,43.3604,-2611.96,2698.69,All
48.9003,1440.04,48.9003,-2945.68,3043.48,44.934,1353.09,44.934,-2706.76,2796.62,All
49.3532,1427.95,49.3532,-2972.96,3071.66,46.3316,1406.03,46.3316,-2790.94,2883.6,All
50.6268,1435.71,50.6268,-3049.68,3150.93,46.5076,1413.21,46.5076,-2801.55,2894.56,All
52.3533,1446.24,52.3533,-3153.68,3258.39,48.0812,1474.19,48.0812,-2896.34,2992.5,All
53.0989,1450.79,53.0989,-3198.59,3304.79,49.6548,1520.79,49.6548,-2991.13,3090.44,All
54.0798,1456.77,54.0798,-3257.68,3365.84,49.6922,1521.67,49.6922,-2993.38,3092.76,All
55.8062,1547.05,55.8062,-3361.68,3473.29,51.2284,1556.74,51.2284,-3085.92,3188.38,All
57.1289,1572.76,57.1289,-3441.36,3555.61,52.802,1588.98,52.802,-3180.71,3286.31,All
57.5327,1580.61,57.5327,-3465.68,3580.75,53.2965,1599.46,53.2965,-3210.5,3317.09,All
59.2592,1614.16,59.2592,-3569.68,3688.2,54.3756,1624.4,54.3756,-3275.5,3384.25,All
60.9857,1647.72,60.9857,-3673.68,3795.65,55.9492,1669.51,55.9492,-3370.29,3482.19,All
61.4648,1657.03,61.4648,-3702.54,3825.47,57.1623,1711.34,57.1623,-3443.37,3557.69,All
62.7122,1681.27,62.7122,-3777.68,3903.11,57.5228,1724.57,57.5228,-3465.08,3580.13,All
64.4387,1714.83,64.4387,-3881.68,4010.56,59.0964,1784.32,59.0964,-3559.87,3678.07,All
66.1298,1747.69,66.1298,-3983.56,4115.82,60.67,1843.52,60.67,-3654.67,3776.01,All
66.1651,1748.38,66.1651,-3985.68,4118.01,61.3085,1866.27,61.3085,-3693.13,3815.74,All
67.8916,1781.93,67.8916,-4089.68,4225.47,62.2436,1897.87,62.2436,-3749.46,3873.94,All
69.6181,1815.49,69.6181,-4193.68,4332.92,63.8172,1948.04,63.8172,-3844.25,3971.88,All
71.1489,1858.75,71.1489,-4285.89,4428.19,65.3908,1995.17,65.3908,-3939.04,4069.82,All
71.3446,1864.83,71.3446,-4297.68,4440.37,65.7554,2005.68,65.7554,-3961,4092.51,All
73.0711,1918.4,73.0711,-4401.68,4547.83,66.9644,2040.05,66.9644,-4033.83,4167.76,All
74.7975,1971.97,74.7975,-4505.68,4655.28,68.538,2084.01,68.538,-4128.62,4265.7,All
76.524,2025.54,76.524,-4609.69,4762.73,70.1116,2128.24,70.1116,-4223.41,4363.63,All
76.5488,2026.31,76.5488,-4611.18,4764.28,70.5249,2139.98,70.5249,-4248.31,4389.36,All
78.2505,2079.11,78.2505,-4713.69,4870.19,71.6852,2174.43,71.6852,-4318.2,4461.57,All
79.977,2132.68,79.977,-4817.69,4977.64,73.2588,2223.14,73.2588,-4412.99,4559.51,All
81.7035,2186.25,81.7035,-4921.69,5085.09,74.8324,2273.83,74.8324,-4507.78,4657.45,All
82.3586,2206.58,82.3586,-4961.15,5125.87,75.6403,2303.77,75.6403,-4556.45,4707.73,All
83.4299,2239.83,83.4299,-5025.69,5192.55,76.406,2332.14,76.406,-4602.57,4755.39,All
85.1564,2293.4,85.1564,-5129.69,5300,77.9796,2391.21,77.9796,-4697.37,4853.33,All
86.8829,2346.97,86.8829,-5233.69,5407.45,79.5532,2462.16,79.5532,-4792.16,4951.26,All
88.6094,2400.54,88.6094,-5337.69,5514.91,81.1268,2537.51,81.1268,-4886.95,5049.2,All
