time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
7,2.28538,2.0538,2.13288,2.18428,2.22622,2.26538,2.30392,2.3465,2.39722,2.46188,2.58116,All
7.09538,2.31139,2.07411,2.1551,2.20776,2.25075,2.29089,2.33039,2.37406,2.4261,2.49245,2.61492,All
7.19206,2.33791,2.09481,2.17774,2.23169,2.27574,2.31688,2.35739,2.40217,2.45554,2.52364,2.64936,All
7.248,2.35339,2.10689,2.19095,2.24566,2.29033,2.33206,2.37316,2.41859,2.47275,2.54186,2.66951,All
7.29005,2.3651,2.11601,2.20094,2.25621,2.30136,2.34354,2.38508,2.431,2.48576,2.55565,2.68475,All
7.38938,2.39298,2.13771,2.2247,2.28135,2.32762,2.37087,2.41347,2.46059,2.51678,2.58851,2.72109,All
7.49006,2.42157,2.15993,2.24905,2.30711,2.35455,2.3989,2.44259,2.49093,2.5486,2.62224,2.75843,All
7.496,2.42327,2.16125,2.2505,2.30863,2.35615,2.40056,2.44432,2.49273,2.55049,2.62424,2.76065,All
7.59212,2.4509,2.18269,2.274,2.33351,2.38216,2.42765,2.47247,2.52207,2.58127,2.65688,2.7968,All
7.69556,2.481,2.20601,2.29958,2.36059,2.41048,2.45714,2.50313,2.55404,2.61481,2.69247,2.83625,All
7.744,2.49522,2.21701,2.31165,2.37337,2.42385,2.47107,2.51762,2.56915,2.63067,2.7093,2.8549,All
7.80042,2.51189,2.2299,2.3258,2.38835,2.43953,2.4874,2.5346,2.58686,2.64926,2.72903,2.87679,All
7.9067,2.54358,2.25438,2.35268,2.41683,2.46933,2.51845,2.5669,2.62055,2.68463,2.76659,2.91849,All
7.992,2.56931,2.27422,2.37447,2.43993,2.49351,2.54365,2.59312,2.64792,2.71338,2.79712,2.95241,All
8.01443,2.57613,2.27946,2.38024,2.44604,2.49991,2.55033,2.60006,2.65516,2.72099,2.80521,2.9614,All
8.12363,2.60956,2.30518,2.40852,2.47603,2.53131,2.58307,2.63414,2.69074,2.75837,2.84494,3.00557,All
8.23432,2.64391,2.33156,2.43755,2.50682,2.56356,2.6167,2.66916,2.7273,2.7968,2.88579,3.05102,All
8.24,2.64569,2.33292,2.43904,2.50841,2.56522,2.61844,2.67097,2.72919,2.79879,2.8879,3.05337,All
8.34652,2.6792,2.35862,2.46734,2.53843,2.59668,2.65125,2.70514,2.76487,2.83631,2.92781,3.0978,All
8.46024,2.71546,2.38638,2.49791,2.57088,2.6307,2.68675,2.7421,2.80349,2.87693,2.97102,3.14593,All
8.488,2.72438,2.39321,2.50543,2.57887,2.63907,2.69548,2.7512,2.813,2.88693,2.98167,3.15779,All
8.57552,2.75271,2.41485,2.5293,2.6042,2.66563,2.72321,2.78009,2.84319,2.91869,3.01547,3.19547,All
8.69236,2.79098,2.44407,2.56151,2.63842,2.70151,2.76066,2.81912,2.88398,2.96162,3.06117,3.24645,All
8.736,2.8054,2.45507,2.57364,2.65131,2.71503,2.77478,2.83383,2.89936,2.9778,3.07841,3.26568,All
8.8108,2.83029,2.47403,2.59457,2.67355,2.73836,2.79914,2.85922,2.9259,3.00575,3.10817,3.29891,All
8.93085,2.87069,2.50477,2.62851,2.70962,2.7762,2.83867,2.90042,2.96899,3.05112,3.15652,3.35295,All
8.984,2.88874,2.5185,2.64367,2.72574,2.79311,2.85633,2.91885,2.98826,3.07143,3.17817,3.37716,All
9.05254,2.91219,2.53631,2.66334,2.74665,2.81507,2.87927,2.94277,3.0133,3.09781,3.20631,3.40864,All
9.17588,2.95488,2.56867,2.6991,2.78469,2.85501,2.92102,2.98633,3.05889,3.14586,3.25758,3.46603,All
9.232,2.97451,2.58352,2.71552,2.80217,2.87337,2.94022,3.00636,3.07986,3.16798,3.28117,3.49247,All
9.30091,2.99879,2.60187,2.73582,2.82378,2.89607,2.96396,3.03114,3.10581,3.19534,3.31038,3.5252,All
9.42763,3.04396,2.63595,2.77356,2.86397,2.9383,3.00813,3.07726,3.1541,3.24628,3.36478,3.5862,All
9.48,3.06283,2.65017,2.78931,2.88075,2.95593,3.02658,3.09652,3.17428,3.26757,3.38752,3.61171,All
9.55609,3.09045,2.67096,2.81235,2.9053,2.98174,3.05358,3.12472,3.20382,3.29875,3.42084,3.64911,All
