ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
1,22,13.4131,1.16859,1.16859,13.5211,1.18185,1.18185,13.1626,1.21477,1.21477,13.4131,1.16323,1.16323,0,All,#4682B4,0
1,24,16.9879,0.939418,0.939418,17.1373,0.992652,0.992652,16.6422,1.02298,1.02298,16.9879,1.00739,1.00739,0,All,#4682B4,0
1,27,24.2023,0.833399,0.833399,24.4418,0.901451,0.901451,23.6489,0.932575,0.932575,24.2023,0.881444,0.881444,0,All,#4682B4,0
1,28,27.233,0.796736,0.796736,27.5126,0.915049,0.915049,26.5875,0.947821,0.947821,27.233,0.835849,0.835849,0,All,#4682B4,0
1,32,43.656,0.567451,0.567451,44.1686,0.646374,0.646374,42.4755,0.673209,0.673209,43.656,0.608972,0.608972,0,All,#4682B4,0
2,22,13.4131,1.06717,1.06717,16.0718,0.869158,0.869158,15.3582,0.910791,0.910791,13.4131,1.0514,1.0514,0,All,#4682B4,0
2,24,16.9879,1.29264,1.29264,20.6927,1.28156,1.28156,19.6924,1.34802,1.34802,16.9879,1.3923,1.3923,0,All,#4682B4,0
2,27,24.2023,1.40408,1.40408,30.2164,1.21015,1.21015,28.5782,1.28105,1.28105,24.2023,1.38269,1.38269,0,All,#4682B4,0
2,28,27.233,1.40493,1.40493,34.2811,1.3394,1.3394,32.3557,1.4207,1.4207,27.233,1.48582,1.48582,0,All,#4682B4,0
2,32,43.656,0.986516,0.986516,56.7913,0.825642,0.825642,53.1609,0.88386,0.88386,43.656,1.16409,1.16409,0,All,#4682B4,0
3,22,13.4131,0.98662,0.98662,13.481,1.02061,1.02061,13.4827,1.02049,1.02049,13.4131,1.02463,1.02463,0,All,#4682B4,0
3,24,16.9879,0.986456,0.986456,17.0818,1.01518,1.01518,17.0841,1.01504,1.01504,16.9879,1.07189,1.07189,0,All,#4682B4,0
3,27,24.2023,1.26094,1.26094,24.3529,1.28922,1.28922,24.3565,1.28902,1.28902,24.2023,1.28458,1.28458,0,All,#4682B4,0
3,28,27.233,0.831173,0.831173,27.4088,0.967945,0.967945,27.4131,0.96779,0.96779,27.233,0.905436,0.905436,0,All,#4682B4,0
3,32,43.656,0.614161,0.614161,43.9781,0.642933,0.642933,43.986,0.642813,0.642813,43.656,0.689495,0.689495,0,All,#4682B4,0
4,22,13.4131,0.915755,0.915755,13.1512,0.979283,0.979283,13.1331,0.980666,0.980666,13.4131,0.946802,0.946802,0,All,#4682B4,0
4,24,16.9879,1.01752,1.01752,16.6264,1.04744,1.04744,16.6015,1.04906,1.04906,16.9879,1.03514,1.03514,0,All,#4682B4,0
4,27,24.2023,0.82761,0.82761,23.6237,0.956806,0.956806,23.5839,0.958466,0.958466,24.2023,0.924064,0.924064,0,All,#4682B4,0
4,28,27.233,0.88272,0.88272,26.5581,1.06541,1.06541,26.5117,1.06732,1.06732,27.233,0.883392,0.883392,0,All,#4682B4,0
4,32,43.656,0.732188,0.732188,42.4218,0.691575,0.691575,42.3371,0.693012,0.693012,43.656,0.84036,0.84036,0,All,#4682B4,0
5,22,13.4131,0.923593,0.923593,12.9496,0.987994,0.987994,12.5502,1.02029,1.02029,13.4131,0.98964,0.98964,0,All,#4682B4,0
5,24,16.9879,0.835654,0.835654,16.3486,0.955392,0.955392,15.7992,0.989547,0.989547,16.9879,0.868685,0.868685,0,All,#4682B4,0
5,27,24.2023,0.746058,0.746058,23.1801,0.85536,0.85536,22.3058,0.889942,0.889942,24.2023,0.822862,0.822862,0,All,#4682B4,0
5,28,27.233,0.711216,0.711216,26.0412,0.815566,0.815566,25.0232,0.849838,0.849838,27.233,0.740415,0.740415,0,All,#4682B4,0
5,32,43.656,0.413769,0.413769,41.4794,0.521612,0.521612,39.6316,0.547185,0.547185,43.656,0.46215,0.46215,0,All,#4682B4,0
