time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
7,1.05875,7,0.975329,7,1.03035,2.28534,1.00664,2.44692,0.951746,2.28534,1.00558,All
7.24089,1.06717,7.24089,0.982553,7.24089,1.03966,2.45879,1.02978,2.62441,0.935854,2.45879,1.02911,All
7.49006,1.07588,7.49006,0.990027,7.49006,1.04929,2.6454,1.05466,2.81476,0.918112,2.6454,1.05444,All
7.62,1.08043,7.62,0.993924,7.62,1.05431,2.84618,1.08144,3.01893,0.90179,2.84618,1.08168,All
7.74781,1.0849,7.74781,0.997757,7.74781,1.05925,3.06219,1.11025,3.2379,0.884284,3.06219,1.11099,All
8.01443,1.09422,8.01443,1.00575,8.01443,1.06956,3.2946,1.11851,3.47276,0.873788,3.2946,1.11995,All
8.24,1.10211,8.24,1.01252,8.24,1.07828,3.54465,1.00117,3.72465,0.896246,3.54465,1.00423,All
8.29023,1.10386,8.29023,1.01403,8.29023,1.08022,3.81368,0.947074,3.99481,0.940768,3.81368,0.9522,All
8.57552,1.11384,8.57552,1.02258,8.57552,1.09125,4.01182,0.950377,4.02052,0.943638,4.01182,0.957233,All
8.86,1.12379,8.86,1.03111,8.86,1.10225,4.10313,0.951899,4.28457,0.948962,4.10313,0.959552,All
8.87062,1.12416,8.87062,1.03143,8.87062,1.10266,4.41454,0.974558,4.59534,0.947018,4.41454,0.982095,All
9.17588,1.13483,9.17588,1.04059,9.17588,1.11446,4.74959,0.989053,4.92866,0.930244,4.74959,0.996808,All
9.48,1.14547,9.48,1.04971,9.48,1.12621,5.11007,0.985547,5.28615,0.949526,5.11007,0.994873,All
9.49164,1.14588,9.49164,1.05006,9.49164,1.12666,5.49791,1.02899,5.59412,1.01897,5.49791,1.03988,All
9.81827,1.1573,9.81827,1.05986,9.81827,1.13929,5.7383,1.06722,5.66958,1.03191,5.7383,1.07903,All
10.1,1.14368,10.1,1.05045,10.1,1.12688,5.91518,1.08839,6.08081,1.04088,5.91518,1.10052,All
10.1561,1.13246,10.1561,1.04211,10.1561,1.11597,6.36412,1.08236,6.52188,1.00037,6.36412,1.09226,All
10.5056,1.06264,10.5056,0.990185,10.5056,1.04805,6.84714,1.06371,6.99493,1.00343,6.84714,1.07218,All
10.72,1.01982,10.72,0.958338,10.72,1.00639,7.36681,1.03003,7.16771,1.01701,7.36681,1.03805,All
