id,V0_SAEM,a_SAEM,V0_mode,a_mode
1,1,0.118636,1,0.117103
2,1,0.126319,1,0.124115
3,1,0.118456,1,0.118195
4,1,0.117355,1,0.117001
5,1,0.116612,1,0.114938
6,1,0.116251,1,0.115796
7,1,0.117695,1,0.115376
8,1,0.110379,1,0.111235
9,1,0.112173,1,0.110983
10,1,0.113438,1,0.111761
11,1,0.110768,1,0.109856
12,1,0.11292,1,0.111798
13,1,0.112974,1,0.111963
14,1,0.111795,1,0.111803
15,1,0.113826,1,0.113021
16,1,0.131088,1,0.130823
17,1,0.126787,1,0.127716
18,1,0.144726,1,0.14341
19,1,0.132723,1,0.132204
20,1,0.137508,1,0.13499
21,1,0.11494,1,0.114548
22,1,0.117194,1,0.115638
23,1,0.11407,1,0.113399
24,1,0.112867,1,0.112174
25,1,0.110424,1,0.109011
26,1,0.106504,1,0.105429
27,1,0.125272,1,0.124317
28,1,0.119342,1,0.118275
29,1,0.123366,1,0.122768
30,1,0.124896,1,0.123447
31,1,0.120701,1,0.120027
32,1,0.115354,1,0.113657
33,1,0.110376,1,0.110709
34,1,0.110377,1,0.110741
35,1,0.113059,1,0.112151
36,1,0.113682,1,0.112739
37,1,0.120838,1,0.119528
38,1,0.119133,1,0.118961
39,1,0.112947,1,0.11245
40,1,0.113153,1,0.113528
41,1,0.116062,1,0.11506
42,1,0.118942,1,0.119209
43,1,0.119008,1,0.117047
44,1,0.122124,1,0.122685
45,1,0.115759,1,0.114129
46,1,0.11521,1,0.113443
47,1,0.11265,1,0.111787
48,1,0.121617,1,0.120534
49,1,0.116475,1,0.116247
50,1,0.12091,1,0.120169
51,1,0.118092,1,0.116232
52,1,0.122421,1,0.120725
53,1,0.130025,1,0.128319
54,1,0.129622,1,0.129126
55,1,0.109418,1,0.10818
56,1,0.123994,1,0.124207
57,1,0.119833,1,0.119214
58,1,0.125239,1,0.124669
59,1,0.124254,1,0.123284
60,1,0.120154,1,0.119896
61,1,0.11975,1,0.118476
62,1,0.113258,1,0.114215
63,1,0.114581,1,0.113741
64,1,0.117623,1,0.116358
65,1,0.119597,1,0.118035
