id,eta_V0_SAEM,eta_a_SAEM,eta_V0_mode,eta_a_mode
1,0,-0.000508198,0,-0.00728721
2,0,0.0637636,0,0.0508652
3,0,-0.00164987,0,0.00199267
4,0,-0.0112201,0,-0.00815836
5,0,-0.0172333,0,-0.0259489
6,0,-0.0205095,0,-0.0185085
7,0,-0.00862408,0,-0.0221418
8,0,-0.0727529,0,-0.0586939
9,0,-0.0559061,0,-0.0609655
10,0,-0.0442658,0,-0.0539778
11,0,-0.0689789,0,-0.0711657
12,0,-0.0498302,0,-0.0536452
13,0,-0.0487848,0,-0.0521691
14,0,-0.0593778,0,-0.053598
15,0,-0.0408892,0,-0.04277
16,0,0.100351,0,0.103506
17,0,0.0662772,0,0.0794726
18,0,0.198833,0,0.195369
19,0,0.112933,0,0.114009
20,0,0.148659,0,0.134863
21,0,-0.0308972,0,-0.0293432
22,0,-0.0119,0,-0.019873
23,0,-0.0385023,0,-0.0394249
24,0,-0.0493795,0,-0.0502907
25,0,-0.0711229,0,-0.0788895
26,0,-0.107812,0,-0.112303
27,0,0.0552242,0,0.052496
28,0,0.00636399,0,0.00267309
29,0,0.0396576,0,0.0399592
30,0,0.0518657,0,0.0454707
31,0,0.0181761,0,0.0173794
32,0,-0.0276007,0,-0.0371515
33,0,-0.0714703,0,-0.0634315
34,0,-0.0717041,0,-0.0631483
35,0,-0.0477024,0,-0.0504983
36,0,-0.0419582,0,-0.0452643
37,0,0.019339,0,0.0132122
38,0,0.0053053,0,0.00845726
39,0,-0.0496088,0,-0.0478343
40,0,-0.0483235,0,-0.0382945
41,0,-0.0214431,0,-0.0248847
42,0,0.00198997,0,0.0105403
43,0,0.0027284,0,-0.00776712
44,0,0.0291679,0,0.0392824
45,0,-0.0253163,0,-0.0330074
46,0,-0.0310244,0,-0.0390419
47,0,-0.0522992,0,-0.0537434
48,0,0.0248186,0,0.0215915
49,0,-0.0189741,0,-0.0146257
50,0,0.018909,0,0.0185608
51,0,-0.00401718,0,-0.0147555
52,0,0.0322005,0,0.0231713
53,0,0.0925229,0,0.0841777
54,0,0.0896582,0,0.0904517
55,0,-0.0806516,0,-0.0865395
56,0,0.0448852,0,0.0516098
57,0,0.0107985,0,0.010576
58,0,0.0553404,0,0.0553185
59,0,0.0467927,0,0.0441518
60,0,0.0131009,0,0.0162804
61,0,0.00953997,0,0.0043681
62,0,-0.0460808,0,-0.0322547
63,0,-0.0347362,0,-0.0364195
64,0,-0.00827944,0,-0.0136695
65,0,0.00863781,0,0.00063857
