id,importanceSampling
1,81.758
2,86.575
3,82.422
4,81.608
5,80.292
6,80.752
7,80.550
8,114.248
9,114.115
10,114.595
11,113.225
12,114.578
13,114.708
14,114.542
15,115.454
16,153.106
17,148.244
18,165.957
19,154.121
20,156.440
21,152.001
22,153.129
23,150.974
24,149.860
25,147.164
26,144.539
27,166.719
28,160.628
29,164.642
30,165.980
31,161.288
32,155.220
33,220.337
34,221.309
35,222.426
36,222.635
37,231.752
38,232.738
39,89.938
40,90.831
41,92.063
42,95.661
43,93.571
44,98.885
45,91.341
46,90.661
47,89.415
48,97.037
49,92.901
50,96.541
51,169.819
52,174.261
53,184.374
54,185.114
55,162.742
56,178.862
57,172.645
58,178.657
59,177.203
60,159.522
61,158.107
62,153.840
63,152.848
64,155.174
65,155.789
